Node1	Node2	Pvalue	Cor	CorrB	CorRange
Otu000117_Nocardioides	Otu000071_Nocardioides	0.0099	0.4272	Positive	Strong
Otu000155_uncultured	Otu000071_Nocardioides	0.0099	0.4205	Positive	Strong
Otu000162_Ilumatobacter	Otu000071_Nocardioides	0.0099	0.41	Positive	Strong
Otu000169_Nocardioides	Otu000071_Nocardioides	0.0099	0.4143	Positive	Strong
Otu000184_Intrasporangiaceae_unclassified	Otu000071_Nocardioides	0.0099	0.4936	Positive	Strong
Otu000093_Sphingomonas	Otu000074_Belnapia	0.0099	0.4091	Positive	Strong
Otu000113_Amaricoccus	Otu000074_Belnapia	0.0099	0.4054	Positive	Strong
Otu000155_uncultured	Otu000074_Belnapia	0.0099	0.4837	Positive	Strong
Otu000087_Staphylococcus	Otu000075_Escherichia.Shigella	0.0099	0.4913	Positive	Strong
Otu000107_Prevotella_7	Otu000075_Escherichia.Shigella	0.0099	0.4871	Positive	Strong
Otu000112_Streptococcus	Otu000075_Escherichia.Shigella	0.0099	0.4722	Positive	Strong
Otu000119_Cutibacterium	Otu000075_Escherichia.Shigella	0.0099	0.4946	Positive	Strong
Otu000141_Streptococcus	Otu000075_Escherichia.Shigella	0.0099	0.434	Positive	Strong
Otu000250_Acidibacter	Otu000075_Escherichia.Shigella	0.0099	0.4402	Positive	Strong
Otu000289_Croceicoccus	Otu000075_Escherichia.Shigella	0.0099	0.4782	Positive	Strong
Otu000320_Croceicoccus	Otu000075_Escherichia.Shigella	0.0099	0.5009	Positive	Strong
Otu001064_Enterobacteriaceae_unclassified	Otu000075_Escherichia.Shigella	0.0099	0.5013	Positive	Strong
Otu000132_Sphingorhabdus	Otu000076_Sphingorhabdus	0.0099	0.4578	Positive	Strong
Otu000233_Tabrizicola	Otu000076_Sphingorhabdus	0.0099	0.4455	Positive	Strong
Otu000093_Sphingomonas	Otu000081_Nocardioides	0.0099	0.4213	Positive	Strong
Otu000211_Iamia	Otu000081_Nocardioides	0.0099	0.4104	Positive	Strong
Otu000140_Actinomycetospora	Otu000086_Pseudonocardia	0.0099	0.4161	Positive	Strong
Otu000107_Prevotella_7	Otu000087_Staphylococcus	0.0099	0.668	Positive	Strong
Otu000112_Streptococcus	Otu000087_Staphylococcus	0.0099	0.7318	Positive	Strong
Otu000119_Cutibacterium	Otu000087_Staphylococcus	0.0099	0.6735	Positive	Strong
Otu000141_Streptococcus	Otu000087_Staphylococcus	0.0099	0.6656	Positive	Strong
Otu000167_Undibacterium	Otu000087_Staphylococcus	0.0099	0.4174	Positive	Strong
Otu000250_Acidibacter	Otu000087_Staphylococcus	0.0099	0.4928	Positive	Strong
Otu000289_Croceicoccus	Otu000087_Staphylococcus	0.0099	0.6061	Positive	Strong
Otu000290_Actinomyces	Otu000087_Staphylococcus	0.0099	0.5633	Positive	Strong
Otu000320_Croceicoccus	Otu000087_Staphylococcus	0.0099	0.6478	Positive	Strong
Otu000653_Neisseria	Otu000087_Staphylococcus	0.0099	0.4526	Positive	Strong
Otu000093_Sphingomonas	Otu000091_Nocardioides	0.0099	0.4367	Positive	Strong
Otu000096_67-14_ge	Otu000093_Sphingomonas	0.0099	0.4024	Positive	Strong
Otu000099_SC-I-84_ge	Otu000093_Sphingomonas	0.0099	0.5222	Positive	Strong
Otu000100_uncultured_ge	Otu000093_Sphingomonas	0.0099	0.4844	Positive	Strong
Otu000101_Acidibacter	Otu000093_Sphingomonas	0.0099	0.4411	Positive	Strong
Otu000105_Pseudonocardia	Otu000093_Sphingomonas	0.0099	0.5085	Positive	Strong
Otu000109_Sphingomonas	Otu000093_Sphingomonas	0.0099	0.402	Positive	Strong
Otu000117_Nocardioides	Otu000093_Sphingomonas	0.0099	0.4397	Positive	Strong
Otu000135_Bradyrhizobium	Otu000093_Sphingomonas	0.0099	0.4225	Positive	Strong
Otu000140_Actinomycetospora	Otu000093_Sphingomonas	0.0099	0.428	Positive	Strong
Otu000155_uncultured	Otu000093_Sphingomonas	0.0099	0.4447	Positive	Strong
Otu000169_Nocardioides	Otu000093_Sphingomonas	0.0099	0.4378	Positive	Strong
Otu000178_Marmoricola	Otu000093_Sphingomonas	0.0099	0.4156	Positive	Strong
Otu000179_Gaiella	Otu000093_Sphingomonas	0.0099	0.4256	Positive	Strong
Otu000184_Intrasporangiaceae_unclassified	Otu000093_Sphingomonas	0.0099	0.467	Positive	Strong
Otu000186_Xanthomonas	Otu000093_Sphingomonas	0.0099	-0.4094	Negative	Strong
Otu000195_Alcaligenaceae_unclassified	Otu000093_Sphingomonas	0.0099	-0.4067	Negative	Strong
Otu000203_Gaiella	Otu000093_Sphingomonas	0.0099	0.4009	Positive	Strong
Otu000207_Pseudonocardia	Otu000093_Sphingomonas	0.0099	0.4343	Positive	Strong
Otu000209_Ilumatobacter	Otu000093_Sphingomonas	0.0099	0.4466	Positive	Strong
Otu000234_uncultured	Otu000093_Sphingomonas	0.0099	0.4144	Positive	Strong
Otu000265_Nocardioides	Otu000093_Sphingomonas	0.0099	0.4061	Positive	Strong
Otu000278_Oxalobacteraceae_unclassified	Otu000093_Sphingomonas	0.0099	-0.5011	Negative	Strong
Otu000115_67-14_ge	Otu000096_67.14_ge	0.0099	0.4138	Positive	Strong
Otu000140_Actinomycetospora	Otu000096_67.14_ge	0.0099	0.4633	Positive	Strong
Otu000234_uncultured	Otu000096_67.14_ge	0.0099	0.407	Positive	Strong
Otu000140_Actinomycetospora	Otu000097_Rubrobacter	0.0099	0.5302	Positive	Strong
Otu000234_uncultured	Otu000097_Rubrobacter	0.0099	0.4009	Positive	Strong
Otu000101_Acidibacter	Otu000099_SC.I.84_ge	0.0099	0.4007	Positive	Strong
Otu000135_Bradyrhizobium	Otu000099_SC.I.84_ge	0.0099	0.4151	Positive	Strong
Otu000155_uncultured	Otu000099_SC.I.84_ge	0.0099	0.4136	Positive	Strong
Otu000169_Nocardioides	Otu000099_SC.I.84_ge	0.0099	0.4622	Positive	Strong
Otu000173_Iamia	Otu000099_SC.I.84_ge	0.0099	0.4265	Positive	Strong
Otu000179_Gaiella	Otu000099_SC.I.84_ge	0.0099	0.4348	Positive	Strong
Otu000109_Sphingomonas	Otu000100_uncultured_ge	0.0099	0.4136	Positive	Strong
Otu000105_Pseudonocardia	Otu000101_Acidibacter	0.0099	0.4236	Positive	Strong
Otu000135_Bradyrhizobium	Otu000105_Pseudonocardia	0.0099	0.4208	Positive	Strong
Otu000207_Pseudonocardia	Otu000105_Pseudonocardia	0.0099	0.4575	Positive	Strong
Otu000115_67-14_ge	Otu000106_Gaiella	0.0099	0.4167	Positive	Strong
Otu000117_Nocardioides	Otu000106_Gaiella	0.0099	0.402	Positive	Strong
Otu000136_67-14_ge	Otu000106_Gaiella	0.0099	0.4213	Positive	Strong
Otu000169_Nocardioides	Otu000106_Gaiella	0.0099	0.4422	Positive	Strong
Otu000184_Intrasporangiaceae_unclassified	Otu000106_Gaiella	0.0099	0.4316	Positive	Strong
Otu000203_Gaiella	Otu000106_Gaiella	0.0099	0.417	Positive	Strong
Otu000221_Mycobacterium	Otu000106_Gaiella	0.0099	0.4202	Positive	Strong
Otu000224_Microvirga	Otu000106_Gaiella	0.0099	0.4817	Positive	Strong
Otu000112_Streptococcus	Otu000107_Prevotella_7	0.0099	0.6908	Positive	Strong
Otu000119_Cutibacterium	Otu000107_Prevotella_7	0.0099	0.5906	Positive	Strong
Otu000141_Streptococcus	Otu000107_Prevotella_7	0.0099	0.6081	Positive	Strong
Otu000167_Undibacterium	Otu000107_Prevotella_7	0.0099	0.4578	Positive	Strong
Otu000250_Acidibacter	Otu000107_Prevotella_7	0.0099	0.5191	Positive	Strong
Otu000289_Croceicoccus	Otu000107_Prevotella_7	0.0099	0.5889	Positive	Strong
Otu000290_Actinomyces	Otu000107_Prevotella_7	0.0099	0.5167	Positive	Strong
Otu000320_Croceicoccus	Otu000107_Prevotella_7	0.0099	0.5968	Positive	Strong
Otu000117_Nocardioides	Otu000109_Sphingomonas	0.0099	0.5	Positive	Strong
Otu000139_Sphingomonas	Otu000109_Sphingomonas	0.0099	0.5584	Positive	Strong
Otu000147_Nocardioides	Otu000109_Sphingomonas	0.0099	0.4507	Positive	Strong
Otu000169_Nocardioides	Otu000109_Sphingomonas	0.0099	0.412	Positive	Strong
Otu000243_Sphingomonas	Otu000109_Sphingomonas	0.0099	0.4487	Positive	Strong
Otu000119_Cutibacterium	Otu000112_Streptococcus	0.0099	0.6456	Positive	Strong
Otu000141_Streptococcus	Otu000112_Streptococcus	0.0099	0.6093	Positive	Strong
Otu000167_Undibacterium	Otu000112_Streptococcus	0.0099	0.4734	Positive	Strong
Otu000250_Acidibacter	Otu000112_Streptococcus	0.0099	0.5324	Positive	Strong
Otu000289_Croceicoccus	Otu000112_Streptococcus	0.0099	0.6099	Positive	Strong
Otu000290_Actinomyces	Otu000112_Streptococcus	0.0099	0.5385	Positive	Strong
Otu000320_Croceicoccus	Otu000112_Streptococcus	0.0099	0.6208	Positive	Strong
Otu000653_Neisseria	Otu000112_Streptococcus	0.0099	0.4094	Positive	Strong
Otu000122_Microlunatus	Otu000113_Amaricoccus	0.0099	0.463	Positive	Strong
Otu000155_uncultured	Otu000113_Amaricoccus	0.0099	0.4348	Positive	Strong
Otu000169_Nocardioides	Otu000113_Amaricoccus	0.0099	0.4096	Positive	Strong
Otu000135_Bradyrhizobium	Otu000115_67.14_ge	0.0099	0.4766	Positive	Strong
Otu000136_67-14_ge	Otu000115_67.14_ge	0.0099	0.4849	Positive	Strong
Otu000149_67-14_ge	Otu000115_67.14_ge	0.0099	0.4711	Positive	Strong
Otu000155_uncultured	Otu000115_67.14_ge	0.0099	0.4167	Positive	Strong
Otu000169_Nocardioides	Otu000115_67.14_ge	0.0099	0.4072	Positive	Strong
Otu000179_Gaiella	Otu000115_67.14_ge	0.0099	0.4235	Positive	Strong
Otu000195_Alcaligenaceae_unclassified	Otu000115_67.14_ge	0.0099	-0.4058	Negative	Strong
Otu000139_Sphingomonas	Otu000117_Nocardioides	0.0099	0.4542	Positive	Strong
Otu000169_Nocardioides	Otu000117_Nocardioides	0.0099	0.4415	Positive	Strong
Otu000178_Marmoricola	Otu000117_Nocardioides	0.0099	0.4362	Positive	Strong
Otu000184_Intrasporangiaceae_unclassified	Otu000117_Nocardioides	0.0099	0.4452	Positive	Strong
Otu000141_Streptococcus	Otu000119_Cutibacterium	0.0099	0.537	Positive	Strong
Otu000250_Acidibacter	Otu000119_Cutibacterium	0.0099	0.5382	Positive	Strong
Otu000289_Croceicoccus	Otu000119_Cutibacterium	0.0099	0.5135	Positive	Strong
Otu000290_Actinomyces	Otu000119_Cutibacterium	0.0099	0.5295	Positive	Strong
Otu000320_Croceicoccus	Otu000119_Cutibacterium	0.0099	0.5521	Positive	Strong
Otu000140_Actinomycetospora	Otu000122_Microlunatus	0.0099	0.4155	Positive	Strong
Otu000155_uncultured	Otu000122_Microlunatus	0.0099	0.4578	Positive	Strong
Otu000135_Bradyrhizobium	Otu000123_Methyloligellaceae_unclassified	0.0099	0.5119	Positive	Strong
Otu000136_67-14_ge	Otu000123_Methyloligellaceae_unclassified	0.0099	0.4526	Positive	Strong
Otu000188_67-14_ge	Otu000123_Methyloligellaceae_unclassified	0.0099	0.4367	Positive	Strong
Otu000266_Comamonadaceae_unclassified	Otu000133_Comamonadaceae_unclassified	0.0099	0.4143	Positive	Strong
Otu000136_67-14_ge	Otu000135_Bradyrhizobium	0.0099	0.4597	Positive	Strong
Otu000149_67-14_ge	Otu000135_Bradyrhizobium	0.0099	0.4253	Positive	Strong
Otu000207_Pseudonocardia	Otu000135_Bradyrhizobium	0.0099	0.417	Positive	Strong
Otu000179_Gaiella	Otu000136_67.14_ge	0.0099	0.4113	Positive	Strong
Otu000203_Gaiella	Otu000136_67.14_ge	0.0099	0.4453	Positive	Strong
Otu000216_Sphingomonadaceae_unclassified	Otu000136_67.14_ge	0.0099	-0.4017	Negative	Strong
Otu000243_Sphingomonas	Otu000139_Sphingomonas	0.0099	0.4247	Positive	Strong
Otu000167_Undibacterium	Otu000141_Streptococcus	0.0099	0.441	Positive	Strong
Otu000250_Acidibacter	Otu000141_Streptococcus	0.0099	0.439	Positive	Strong
Otu000289_Croceicoccus	Otu000141_Streptococcus	0.0099	0.5513	Positive	Strong
Otu000290_Actinomyces	Otu000141_Streptococcus	0.0099	0.5378	Positive	Strong
Otu000320_Croceicoccus	Otu000141_Streptococcus	0.0099	0.5706	Positive	Strong
Otu000653_Neisseria	Otu000141_Streptococcus	0.0099	0.4229	Positive	Strong
Otu000155_uncultured	Otu000143_Rhodanobacteraceae_unclassified	0.0099	0.4005	Positive	Strong
Otu000278_Oxalobacteraceae_unclassified	Otu000144_Pseudomonas	0.0099	0.4065	Positive	Strong
Otu000220_Arthrobacter	Otu000147_Nocardioides	0.0099	0.5087	Positive	Strong
Otu000438_Pseudomonas	Otu000152_Pseudomonas	0.0099	0.431	Positive	Strong
Otu000162_Ilumatobacter	Otu000155_uncultured	0.0099	0.4785	Positive	Strong
Otu000169_Nocardioides	Otu000155_uncultured	0.0099	0.413	Positive	Strong
Otu000195_Alcaligenaceae_unclassified	Otu000155_uncultured	0.0099	-0.4762	Negative	Strong
Otu000212_Amaricoccus	Otu000155_uncultured	0.0099	0.4294	Positive	Strong
Otu000234_uncultured	Otu000155_uncultured	0.0099	0.4365	Positive	Strong
Otu000261_SC-I-84_ge	Otu000155_uncultured	0.0099	0.4298	Positive	Strong
Otu000278_Oxalobacteraceae_unclassified	Otu000155_uncultured	0.0099	-0.4093	Negative	Strong
Otu000212_Amaricoccus	Otu000162_Ilumatobacter	0.0099	0.4051	Positive	Strong
Otu000172_Massilia	Otu000163_Massilia	0.0099	0.6118	Positive	Strong
Otu000179_Gaiella	Otu000169_Nocardioides	0.0099	0.4028	Positive	Strong
Otu000180_Pseudomonas	Otu000169_Nocardioides	0.0099	-0.4122	Negative	Strong
Otu000184_Intrasporangiaceae_unclassified	Otu000169_Nocardioides	0.0099	0.4896	Positive	Strong
Otu000184_Intrasporangiaceae_unclassified	Otu000179_Gaiella	0.0099	0.4039	Positive	Strong
Otu000203_Gaiella	Otu000179_Gaiella	0.0099	0.4074	Positive	Strong
Otu000438_Pseudomonas	Otu000186_Xanthomonas	0.0099	0.4054	Positive	Strong
Otu000229_Flavobacteriaceae_unclassified	Otu000195_Alcaligenaceae_unclassified	0.0099	0.4452	Positive	Strong
Otu000334_Microbacteriaceae_unclassified	Otu000198_Clavibacter	0.0099	0.559	Positive	Strong
Otu000353_Cryobacterium	Otu000198_Clavibacter	0.0099	0.4232	Positive	Strong
Otu000261_SC-I-84_ge	Otu000209_Ilumatobacter	0.0099	0.4009	Positive	Strong
Otu000431_Chryseobacterium	Otu000229_Flavobacteriaceae_unclassified	0.0099	0.4547	Positive	Strong
Otu000273_Microtrichales_unclassified	Otu000234_uncultured	0.0099	0.4353	Positive	Strong
Otu000289_Croceicoccus	Otu000250_Acidibacter	0.0099	0.4327	Positive	Strong
Otu000290_Actinomyces	Otu000250_Acidibacter	0.0099	0.4011	Positive	Strong
Otu000320_Croceicoccus	Otu000250_Acidibacter	0.0099	0.4695	Positive	Strong
Otu000438_Pseudomonas	Otu000278_Oxalobacteraceae_unclassified	0.0099	0.4005	Positive	Strong
Otu000534_Cellulosimicrobium	Otu000287_Cellulosimicrobium	0.0099	0.5262	Positive	Strong
Otu000290_Actinomyces	Otu000289_Croceicoccus	0.0099	0.4745	Positive	Strong
Otu000320_Croceicoccus	Otu000289_Croceicoccus	0.0099	0.6094	Positive	Strong
Otu000320_Croceicoccus	Otu000290_Actinomyces	0.0099	0.4573	Positive	Strong
Otu000438_Pseudomonas	Otu000318_Comamonadaceae_unclassified	0.0099	0.4108	Positive	Strong
